"Individual","LID","geladintestivirus_1","geladintestivirus_2","geladintestivirus_3","geladintestivirus_4","geladintestivirus_5","geladintestivirus_6","gel_1_pres_10","gel_2_pres_10","gel_3_pres_10","gel_4_pres_10","gel_5_pres_10","gel_6_pres_10","SampleDate","SampleType","NbReads","Sex","AgeDay","AgeMonth","AgeYear","SampleMonth","SampleYear","Season","Humidity","Temp","Rain90","PairedSample","LID_PairedSample","richness.10","any_intest","wean_date","weaned","mat_date","dob","avg_wean","weaned2","plot_crass_10","dev_stage"
"CAS","LID_108310",0,13,0,0,0,16.4,0,1,0,0,0,1,"2017-08-29","adult",16380459,"F",5473,179.442623,14.99452055,8,2017,"ColdWet","Wet","Cold",1301.6,1,"LID_108304",2,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_108307",0,0,0,20.7,0,0,0,0,0,1,0,0,"2017-10-03","adult",7612666,"F",5508,180.5901639,15.09041096,10,2017,"ColdDry","Dry","Cold",1077.7,1,"LID_108394",1,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_105873",0,0,0,0,66.3,76.5,0,0,0,0,1,1,"2017-12-02","adult",9862665,"F",5568,182.557377,15.25479452,12,2017,"ColdDry","Dry","Cold",398.3,1,"LID_105871",2,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_105994",0,0,0,0,0,0,0,0,0,0,0,0,"2018-04-02","adult",1318492,"F",5689,186.5245902,15.58630137,4,2018,"HotDry","Dry","Hot",21.8,1,"LID_106631",0,0,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"no intestivirid","adult"
"CLU","LID_105866",0,0,0,0,0,0,0,0,0,0,0,0,"2018-05-30","infant",6188234,"M",25,0.819672131,0.068493151,5,2018,"HotDry","Dry","Hot",145.7,1,"LID_105982",0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106603",0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-11","infant",51085785,"M",494,16.19672131,1.353424658,9,2019,"ColdWet","Wet","Cold",1080.17,0,NA,0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106269",0,12.2,0,0,0,0,0,1,0,0,0,0,"2018-11-12","infant",14903044,"M",191,6.262295082,0.523287671,11,2018,"ColdDry","Dry","Cold",688.5,1,"LID_105948",1,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_105939",14.5,0,0,0,0,0,1,0,0,0,0,0,"2018-08-02","infant",22702793,"M",89,2.918032787,0.243835616,8,2018,"ColdWet","Wet","Cold",931.9,1,"LID_105990",1,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_107891",0,0,0,0,0,0,0,0,0,0,0,0,"2019-04-04","infant",16762169,"M",334,10.95081967,0.915068493,4,2019,"HotDry","Dry","Hot",17.3,1,"LID_107896",0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106261",0,0,15.2,0,0,0,0,0,1,0,0,0,"2019-12-21","infant",8488418,"M",595,19.50819672,1.630136986,12,2019,"ColdDry","Dry","Cold",467.4809524,0,NA,1,1,NA,1,NA,2018-05-05,2019-11-05,2,"intestivirid","weaned"
"CLU","LID_106267",0,0,0,22.4,58.7,70.2,0,0,0,1,1,1,"2019-07-11","infant",13262479,"M",432,14.16393443,1.183561644,7,2019,"ColdWet","Wet","Cold",722.07,0,NA,3,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_107898",0,0,0,0,0,0,0,0,0,0,0,0,"2020-03-07","infant",8905414,"M",672,22.03278689,1.84109589,3,2020,"HotDry","Dry","Hot",10.4,0,NA,0,0,NA,1,NA,2018-05-05,2019-11-05,2,"no intestivirid","weaned"
"CLU","LID_107895",0,0,0,0,0,0,0,0,0,0,0,0,"2019-06-18","infant",8117967,"M",409,13.40983607,1.120547945,6,2019,"ColdWet","Wet","Cold",505.6,0,NA,0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
